,names,scores,logfoldchanges,pvals,pvals_adj
209,ADT.CD303,-2.9135447,-0.32659516,0.0035735081049382516,0.011045388687990959
210,ADT.CD270,-2.975535,-0.2212605,0.00292478078138447,0.00914414221306409
211,ADT.IgD,-2.9819477,-0.5434711,0.0028642094234951135,0.009058894920821755
212,ADT.CD21,-3.0127292,-0.6558964,0.0025890994619917297,0.008383750638830362
213,ADT.FR,-3.0298297,-0.42918223,0.002446915466422589,0.00801880731164993
214,ADT.CD357,-3.0845523,-0.28730217,0.002038587425292558,0.006931197245994696
215,ADT.CD199,-3.2354667,-0.30329514,0.0012144406165692527,0.004234972406497907
216,ADT.CD163,-3.2923267,-0.3752112,0.0009936209597874016,0.0035561171192391217
217,ADT.CD273,-3.300877,-0.3251235,0.0009638307916404089,0.003495493004349216
218,ADT.CD194,-3.3261008,-0.67691225,0.00088070078795767,0.003237170463844409
219,ADT.CD30,-3.4257128,-0.2067122,0.0006131883915774009,0.002316489479292403
220,ADT.CD10,-3.461197,-0.2515374,0.0005377793085777918,0.0021199416222197013
221,ADT.CD90,-3.4953985,-1.0281562,0.00047335452677650463,0.0018934181071060185
222,ADT.CD45RO,-3.5685043,-0.49757653,0.00035902500264772466,0.0015023815495412477
223,ADT.CD146,-3.5915904,-3.164025,0.0003286662339611241,0.0013968314943347774
224,ADT.CD98,-3.6001408,-0.4280398,0.00031804502871228785,0.00137314679063083
225,ADT.CD197,-3.686927,-0.2884249,0.0002269783100292665,0.0009957758117412983
226,ADT.CD207,-3.761743,-0.36219206,0.00016873335780040238,0.0007649245553618242
227,ADT.CD85g,-3.827581,-0.39662284,0.000129408796219634,0.0005965964842667873
228,ADT.CD7,-3.897694,-3.6559992,9.711294077753139e-05,0.00046341613844716733
229,ADT.CD120b,-3.9652421,-0.99979496,7.33214420860861e-05,0.00035613271870384676
230,ADT.CD4,-3.969945,-1.4287806,7.188923368527734e-05,0.0003555249374980988
231,ADT.CD117,-3.9891834,-0.4432132,6.630116284406083e-05,0.00033396141284415824
232,ADT.Notch2,-4.1794295,-0.69962525,2.9224134055819905e-05,0.00014998046156949082
233,ADT.CD124,-4.2918673,-0.4150469,1.7717701663032913e-05,9.26772086989414e-05
234,ADT.CD71,-4.2987075,-1.2600514,1.7179711568976646e-05,9.162512836787544e-05
235,ADT.CD138,-4.3012724,-0.5665484,1.6982007540032503e-05,9.162512836787544e-05
236,ADT.CD56,-4.3307714,-0.37350848,1.4858792943882075e-05,8.248146287216173e-05
237,ADT.CD62L,-4.4808307,-3.0646138,7.435309970310962e-06,4.213342316509545e-05
238,ADT.CD336,-4.5398283,-0.36172855,5.630005489584929e-06,3.258215942908725e-05
239,ADT.CD47,-4.604811,-0.47752798,4.1284013247828756e-06,2.4953892452020938e-05
240,ADT.CD184,-4.6172094,-0.4090645,3.889349292144718e-06,2.4043250169621892e-05
241,ADT.CD34,-4.7978363,-0.4605148,1.603888142811234e-06,1.0640428654747699e-05
242,ADT.Notch1,-4.828831,-0.43174198,1.3733662089634524e-06,9.338890220951476e-06
